"userId","email","password","accountType","deletedType"
1,Elvie.Bins71@hotmail.com,hutisupizawusocudopi,bronze,0
2,Dayna_Nolan@hotmail.com,xoguzafobasifepigoyo,bronze,0
3,Diamond.Dach89@yahoo.com,hugizaxufahalujojeyo,bronze,0
4,Carmela5@gmail.com,nimamequxojunevupiwo,bronze,0
5,Oran.Hartmann91@hotmail.com,gicoreyakicicajijufe,bronze,0
6,Janis.Hane58@yahoo.com,pixibuyipumuxowubune,bronze,0
7,Agustina.Casper63@gmail.com,tunuloyasejesixawofa,bronze,0
8,Sven.Osinski@hotmail.com,gusajusemuxorelovezi,bronze,0
9,Brionna_Johnson79@yahoo.com,dutokotowoceliqapiza,bronze,0
10,Enola_Block@hotmail.com,coxihuqawusisavimoxe,bronze,0
11,Luciano.Heidenreich@hotmail.com,huvomesufocoluvilova,bronze,0
12,Oral_Sanford@yahoo.com,kirokeriyacudusagiji,bronze,0
13,Santina.Moore34@yahoo.com,dirineviyubuzayerolu,bronze,0
14,Shemar.King23@yahoo.com,lahakocoritemakerosu,bronze,0
15,Freddy92@gmail.com,sakumiwopaxepiwubobi,bronze,0
16,Genevieve19@hotmail.com,futaqahizazufucarevi,bronze,0
17,Tomasa.McLaughlin@gmail.com,badipubixowasivayofa,bronze,0
18,Jarrell11@hotmail.com,kefigibegoxukaxohata,bronze,0
19,Junior.Wisozk@hotmail.com,kitetireriguyusesoha,bronze,0
20,Rebeka_Orn@hotmail.com,dubatenajazomamihalu,bronze,0
21,Rod.Cartwright53@hotmail.com,totiyisicanajixorugi,bronze,0
22,Cali_Rath52@gmail.com,goxizovejujapuhifula,bronze,0
23,Jordi_Wilkinson54@hotmail.com,lobepekowemedimojuho,bronze,0
24,Duncan.Runte89@hotmail.com,cedetonalacopuvivuho,bronze,0
25,Caesar77@yahoo.com,sedivoxucubiyujirigi,bronze,0
26,Jayme65@gmail.com,qeqilijojebubicedeke,bronze,0
27,Loyal.Fay77@gmail.com,yatefijimofopozaceha,bronze,0
28,Rey50@hotmail.com,hamoxumiroduxuxenuwo,bronze,0
29,Yesenia_Schimmel46@hotmail.com,boconawirayomejefiza,bronze,0
30,Zora92@gmail.com,yexofajogowobusequle,bronze,0
31,Matilda.Bernhard@hotmail.com,qebifuqopunilacunoqi,bronze,0
32,Sydnee.Lemke@hotmail.com,talehocehuwetehorafo,bronze,0
33,Erna.Klocko@hotmail.com,zafazicimojayisenaso,bronze,0
34,Alexandra65@gmail.com,fepuyajucefiyusiraxu,bronze,0
35,Katharina.Kirlin@gmail.com,panowolovojadurazalo,bronze,0
